OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19378995,-59.64192104,33,-4.4,91.5,-45.5
13.19378998,-59.64192099,33,-5,91.5,-44.3
13.19378987,-59.64192088,33,-4.3,91.6,-43.4
13.19378983,-59.6419208,33,-3.1,91.4,-42.8
13.19378987,-59.64192095,33,-2.7,91.5,-42.6
13.19378987,-59.64192093,32,-4.2,91.6,-42.5
13.19378981,-59.64192084,32,-4.4,91.4,-42.5
13.19378978,-59.64192079,32,-3.7,91.5,-42.5
13.19378983,-59.64192071,32,-3.1,91.4,-42.5
13.19378986,-59.64192068,31,-1.7,91.1,-42.5
13.19378965,-59.64192078,30,-3,91.1,-42.5
13.1937896,-59.64192082,30,-3.1,91.1,-42.5
13.1937899,-59.64192078,29,-1.5,90.6,-42.5
13.19378996,-59.64192082,28,-1.5,90.5,-42.5
13.19379043,-59.64192088,27,-4.2,91.1,-42.5
13.19379054,-59.64192097,26,-5.5,91.7,-42.5
13.19379028,-59.64192116,26,-5.4,91.4,-42.5
13.19379022,-59.6419211,25,-4.1,90.6,-42.5
13.19379068,-59.6419219,25,-4.2,91.2,-42.5
13.19379082,-59.64192206,24,-5.2,91.5,-42.5
13.19379054,-59.64192182,24,-5,91.1,-42.5
13.19379056,-59.64192182,23,-4.7,90.9,-42.5
13.19379052,-59.6419215,23,-3.8,91.1,-42.5
13.19379055,-59.64192138,23,-3.3,91.7,-42.5
13.19379034,-59.64192118,23,-4.4,91.4,-42.5
13.1937902,-59.64192101,22,-4.2,91.6,-42.5
13.19379019,-59.64192076,22,-3.7,91.8,-42.5
13.19379001,-59.64192052,22,-4.3,91.9,-42.5
13.19379006,-59.64192028,21,-6.3,92,-42.5
13.19378995,-59.64191997,21,-9,92,-42.5
13.19378983,-59.64191959,21,-9.5,91.7,-42.5
13.19378969,-59.64191896,21,-9,91.7,-42.5
13.19378964,-59.64191813,21,-8.6,91.8,-42.5
13.19378963,-59.64191757,21,-10.1,91.8,-42.5
13.19378918,-59.64191629,21,-11.6,91.7,-42.5
13.19378904,-59.64191521,21,-12.2,91.6,-42.5
13.19378916,-59.64191424,21,-13.1,91.7,-42.5
13.19378907,-59.641913,21,-13.3,91.7,-42.5
13.19378914,-59.641912,21,-11.5,91.7,-42.5
13.19378909,-59.64191035,21,-11.3,91.5,-42.5
13.19378892,-59.6419089,21,-12.7,91.5,-42.5
13.19378887,-59.64190707,21,-14.6,91.6,-42.5
13.19378879,-59.64190519,21,-17.2,91.7,-42.5
13.19378875,-59.64190332,21,-19.9,91.7,-42.5
